DATE,INDPRO
3/1/1990,62.5068
4/1/1990,62.3597
5/1/1990,62.5474
6/1/1990,62.7541
7/1/1990,62.6497
8/1/1990,62.8761
9/1/1990,62.896
10/1/1990,62.506
11/1/1990,61.7271
12/1/1990,61.2939
1/1/1991,61.0931
2/1/1991,60.6522
3/1/1991,60.3069
4/1/1991,60.4658
5/1/1991,61.0671
6/1/1991,61.5611
7/1/1991,61.723
8/1/1991,61.736
9/1/1991,62.2464
10/1/1991,62.1825
11/1/1991,62.0983
12/1/1991,61.8108
1/1/1992,61.4898
2/1/1992,61.9299
3/1/1992,62.449
4/1/1992,62.9312
5/1/1992,63.1359
6/1/1992,63.1736
7/1/1992,63.7408
8/1/1992,63.3917
9/1/1992,63.5927
10/1/1992,64.0282
11/1/1992,64.2732
12/1/1992,64.3668
1/1/1993,64.6256
2/1/1993,64.929
3/1/1993,64.872
4/1/1993,65.0611
5/1/1993,64.8104
6/1/1993,64.9553
7/1/1993,65.1198
8/1/1993,65.0494
9/1/1993,65.3882
10/1/1993,65.8702
11/1/1993,66.1779
12/1/1993,66.5602
1/1/1994,66.7722
2/1/1994,66.8068
3/1/1994,67.4832
4/1/1994,67.8771
5/1/1994,68.1961
6/1/1994,68.6526
7/1/1994,68.7353
8/1/1994,69.1954
9/1/1994,69.4017
10/1/1994,69.969
11/1/1994,70.4367
12/1/1994,71.1413
1/1/1995,71.2762
2/1/1995,71.1904
3/1/1995,71.2891
4/1/1995,71.1623
5/1/1995,71.5044
6/1/1995,71.743
7/1/1995,71.4459
8/1/1995,72.38
9/1/1995,72.6601
10/1/1995,72.5428
11/1/1995,72.7178
12/1/1995,72.9672
1/1/1996,72.5866
2/1/1996,73.6389
3/1/1996,73.5202
4/1/1996,74.2664
5/1/1996,74.8145
6/1/1996,75.3779
7/1/1996,75.3754
8/1/1996,75.7568
9/1/1996,76.2304
10/1/1996,76.2193
11/1/1996,76.8941
12/1/1996,77.3731
1/1/1997,77.5138
2/1/1997,78.4246
3/1/1997,78.9266
4/1/1997,78.9924
5/1/1997,79.4411
6/1/1997,79.8048
7/1/1997,80.48
8/1/1997,81.2862
9/1/1997,82.038
10/1/1997,82.7657
11/1/1997,83.4321
12/1/1997,83.7826
1/1/1998,84.1656
2/1/1998,84.3048
3/1/1998,84.3416
4/1/1998,84.6263
5/1/1998,85.1839
6/1/1998,84.6809
7/1/1998,84.3448
8/1/1998,86.0846
9/1/1998,85.9945
10/1/1998,86.5967
11/1/1998,86.5114
12/1/1998,86.8608
1/1/1999,87.2277
2/1/1999,87.7266
3/1/1999,87.9203
4/1/1999,88.1153
5/1/1999,88.6554
6/1/1999,88.5958
7/1/1999,89.1235
8/1/1999,89.5116
9/1/1999,89.1361
10/1/1999,90.2842
11/1/1999,90.7631
12/1/1999,91.4926
1/1/2000,91.4251
2/1/2000,91.7357
3/1/2000,92.0933
4/1/2000,92.6838
5/1/2000,92.9376
6/1/2000,93.0076
7/1/2000,92.8458
8/1/2000,92.5972
9/1/2000,92.9653
10/1/2000,92.6418
11/1/2000,92.6618
12/1/2000,92.3459
1/1/2001,91.8903
2/1/2001,91.2915
3/1/2001,91.0526
4/1/2001,90.7293
5/1/2001,90.2577
6/1/2001,89.7677
7/1/2001,89.226
8/1/2001,89.1326
9/1/2001,88.6679
10/1/2001,88.3926
11/1/2001,87.8774
12/1/2001,87.8344
1/1/2002,88.4665
2/1/2002,88.4661
3/1/2002,89.1228
4/1/2002,89.5532
